age,sex,income_family,province,education,religious,marital_status,language_knowledge,employed
53,Female,"$25,000 to $49,999",Quebec,High school diploma,Yes,Single,French only,Yes
51,Male,"$75,000 to $99,999",Manitoba,College or certificate,No,Has a partner,English only,Yes
64,Female,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,Both English and French,No
80,Female,"$100,000 to $ 124,999",Alberta,High school diploma,Yes,Has a partner,English only,No
28,Male,"$50,000 to $74,999",Quebec,College or certificate,Yes,Has a partner,Both English and French,Yes
63,Female,"$50,000 to $74,999",Quebec,High school diploma,Yes,Has a partner,French only,No
59,Female,"Less than $25,000",Nova Scotia,Less than high school,Yes,Single,English only,No
80,Female,"Less than $25,000",Quebec,Less than high school,Yes,Single,Both English and French,No
64,Female,"Less than $25,000",British Columbia,High school diploma,Yes,Single,English only,Yes
25,Male,"Less than $25,000",Saskatchewan,Less than high school,Yes,Single,English only,No
16,Male,"Less than $25,000",British Columbia,Less than high school,Yes,Single,English only,Yes
40,Female,"$25,000 to $49,999",Manitoba,College or certificate,No,Single,English only,Yes
57,Female,"$75,000 to $99,999",Prince Edward Island,High school diploma,Yes,Has a partner,English only,Yes
27,Female,"$75,000 to $99,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes
67,Female,"$25,000 to $49,999",Quebec,High school diploma,Yes,Has a partner,Both English and French,No
31,Female,"$25,000 to $49,999",British Columbia,Bachelor's degree,No,Single,English only,Yes
69,Male,"$125,000 and more",Ontario,High school diploma,Yes,Has a partner,English only,Yes
34,Female,"$75,000 to $99,999",British Columbia,Bachelor's degree,Yes,Single,English only,Yes
73,Male,"$75,000 to $99,999",Quebec,Bachelor's degree,Yes,Has a partner,French only,No
39,Male,"$125,000 and more",New Brunswick,Bachelor's degree,No,Has a partner,Both English and French,Yes
65,Male,"$125,000 and more",Ontario,Above bachelor,Yes,Has a partner,English only,No
26,Male,"$25,000 to $49,999",Manitoba,College or certificate,No,Single,English only,Yes
49,Male,"$75,000 to $99,999",British Columbia,Bachelor's degree,No,Single,English only,Yes
16,Male,"$125,000 and more",Saskatchewan,Less than high school,No,Single,English only,No
64,Female,"$25,000 to $49,999",Quebec,College or certificate,Yes,Single,French only,No
78,Male,"$75,000 to $99,999",Ontario,Bachelor's degree,No,Single,English only,No
31,Female,"$100,000 to $ 124,999",Ontario,Above bachelor,No,Single,Both English and French,Yes
19,Female,"$125,000 and more",Saskatchewan,Less than high school,No,Single,English only,No
41,Female,"$25,000 to $49,999",Quebec,Bachelor's degree,Yes,Single,Both English and French,Yes
44,Male,"$50,000 to $74,999",Alberta,High school diploma,Yes,Has a partner,English only,Yes
41,Female,"$125,000 and more",Quebec,Bachelor's degree,Yes,Has a partner,Both English and French,Yes
80,Male,"$25,000 to $49,999",Manitoba,Less than high school,Yes,Single,English only,No
17,Male,"Less than $25,000",Alberta,Less than high school,Yes,Single,English only,Yes
80,Female,"$25,000 to $49,999",Quebec,High school diploma,Yes,Single,French only,No
71,Male,"$50,000 to $74,999",Ontario,College or certificate,Yes,Single,English only,Yes
