age,sex,income_family,province,education,religious,marital_status,language_knowledge,employed,votechoice,vote_liberal
19,Female,"$50,000 to $74,999",Ontario,High school diploma,Yes,Single,Both English and French,Yes,Don't know/ Prefer not to answer,0
19,Female,"$25,000 to $49,999",Ontario,College or certificate,Yes,Single,English only,No,Liberal Party,1
19,Female,"Less than $25,000",Ontario,High school diploma,Yes,Single,English only,Yes,ndp,0
19,Male,"$50,000 to $74,999",Ontario,High school diploma,Yes,Single,English only,No,Conservative Party,0
24,Male,"$125,000 and more",Ontario,College or certificate,Yes,Single,English only,No,Liberal Party,1
19,Female,"$125,000 and more",Ontario,High school diploma,Yes,Single,English only,No,Liberal Party,1
20,Male,"Less than $25,000",Ontario,High school diploma,Yes,Single,Both English and French,Yes,Conservative Party,0
24,Female,"$25,000 to $49,999",Ontario,College or certificate,Yes,Has a partner,Both English and French,Yes,Liberal Party,1
21,Female,"$25,000 to $49,999",Ontario,College or certificate,Yes,Single,English only,Yes,Green Party,0
19,Female,"$50,000 to $74,999",Ontario,College or certificate,Yes,Single,Both English and French,Yes,ndp,0
21,Female,"$50,000 to $74,999",Ontario,High school diploma,Yes,Single,English only,Yes,Conservative Party,0
20,Male,"Less than $25,000",Ontario,College or certificate,Yes,Single,Both English and French,Yes,Liberal Party,1
20,Female,"$25,000 to $49,999",Ontario,College or certificate,Yes,Single,Both English and French,Yes,Liberal Party,1
22,Male,"$50,000 to $74,999",Ontario,College or certificate,Yes,Single,English only,No,ndp,0
19,Female,"$25,000 to $49,999",Ontario,High school diploma,Yes,Single,English only,No,ndp,0
20,Female,"$125,000 and more",Ontario,High school diploma,Yes,Single,Both English and French,Yes,Liberal Party,1
21,Female,"Less than $25,000",Ontario,High school diploma,Yes,Single,English only,Yes,Liberal Party,1
22,Male,"$25,000 to $49,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Another party (please specify),0
50,Female,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
63,Female,"Less than $25,000",Quebec,College or certificate,Yes,Single,French only,No,Liberal Party,1
59,Male,"$75,000 to $99,999",British Columbia,Bachelor's degree,Yes,Has a partner,English only,No,Conservative Party,0
60,Female,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Liberal Party,1
63,Male,"$125,000 and more",Ontario,Above bachelor,Yes,Has a partner,French only,Yes,ndp,0
29,Female,"$50,000 to $74,999",Ontario,Bachelor's degree,No,Has a partner,Both English and French,Yes,Liberal Party,1
57,Female,"Less than $25,000",Ontario,College or certificate,Yes,Single,English only,No,Green Party,0
65,Male,"$125,000 and more",Alberta,Bachelor's degree,Yes,Has a partner,English only,No,Conservative Party,0
65,Male,"$50,000 to $74,999",British Columbia,Bachelor's degree,Yes,Has a partner,English only,Yes,Liberal Party,1
41,Male,"$125,000 and more",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Green Party,0
62,Male,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Single,English only,No,Conservative Party,0
42,Male,"$50,000 to $74,999",Alberta,Bachelor's degree,Yes,Has a partner,English only,Yes,Liberal Party,1
32,Male,"$100,000 to $ 124,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Liberal Party,1
67,Male,"$50,000 to $74,999",Quebec,Above bachelor,Yes,Has a partner,French only,No,Bloc Québécois,0
37,Male,"Less than $25,000",Ontario,High school diploma,Yes,Has a partner,English only,Yes,Green Party,0
47,Male,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Single,English only,Yes,Conservative Party,0
68,Female,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Single,English only,No,ndp,0
30,Male,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Single,Neither English nor French,Yes,Liberal Party,1
59,Male,"$100,000 to $ 124,999",Quebec,High school diploma,Yes,Has a partner,French only,No,Conservative Party,0
61,Female,"Less than $25,000",British Columbia,Bachelor's degree,Yes,Single,English only,Yes,Green Party,0
31,Female,"$100,000 to $ 124,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,ndp,0
65,Female,"Less than $25,000",Ontario,College or certificate,Yes,Single,English only,No,Liberal Party,1
47,Female,"$75,000 to $99,999",Alberta,College or certificate,Yes,Single,English only,Yes,Conservative Party,0
69,Female,"$25,000 to $49,999",Ontario,Bachelor's degree,Yes,Single,Neither English nor French,No,ndp,0
64,Female,"$75,000 to $99,999",Newfoundland and Labrador,College or certificate,Yes,Has a partner,English only,Yes,Conservative Party,0
76,Female,"Less than $25,000",Quebec,College or certificate,Yes,Single,French only,No,Liberal Party,1
55,Male,"$25,000 to $49,999",Quebec,Bachelor's degree,Yes,Has a partner,Neither English nor French,Yes,Conservative Party,0
56,Male,"$25,000 to $49,999",British Columbia,College or certificate,Yes,Single,English only,No,Don't know/ Prefer not to answer,0
63,Male,"$125,000 and more",Saskatchewan,Bachelor's degree,Yes,Single,English only,Yes,Conservative Party,0
46,Female,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Has a partner,Neither English nor French,Yes,Don't know/ Prefer not to answer,0
69,Male,"$75,000 to $99,999",Nova Scotia,Bachelor's degree,Yes,Has a partner,English only,No,Don't know/ Prefer not to answer,0
57,Male,"$50,000 to $74,999",Prince Edward Island,College or certificate,Yes,Has a partner,English only,No,Green Party,0
68,Male,"$75,000 to $99,999",British Columbia,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
67,Male,"$100,000 to $ 124,999",Alberta,Bachelor's degree,Yes,Single,English only,No,Conservative Party,0
59,Male,"$100,000 to $ 124,999",Quebec,Above bachelor,Yes,Has a partner,Both English and French,Yes,Conservative Party,0
28,Male,"$100,000 to $ 124,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Liberal Party,1
63,Male,"$25,000 to $49,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Liberal Party,1
61,Male,"$25,000 to $49,999",Alberta,Bachelor's degree,Yes,Single,English only,No,Conservative Party,0
29,Female,"$50,000 to $74,999",Quebec,Bachelor's degree,Yes,Has a partner,French only,Yes,Conservative Party,0
